ID	X	Y	landcover
931	69.9375	42.0625	17
932	70.0625	42.0625	17
933	70.1875	42.0625	17
934	70.3125	42.0625	17
935	70.4375	42.0625	17
936	70.5625	42.0625	17
937	70.6875	42.0625	17
938	70.8125	42.0625	17
939	70.9375	42.0625	17
940	71.0625	42.0625	17
941	71.1875	42.0625	17
942	71.3125	42.0625	17
943	71.4375	42.0625	17
944	71.5625	42.0625	17
945	71.6875	42.0625	17
946	71.8125	42.0625	17
947	71.9375	42.0625	17
948	72.0625	42.0625	17
949	72.1875	42.0625	17
950	72.3125	42.0625	17
951	72.4375	42.0625	17
952	72.5625	42.0625	17
953	72.6875	42.0625	17
954	72.8125	42.0625	17
955	72.9375	42.0625	17
956	73.0625	42.0625	17
957	73.1875	42.0625	17
958	73.3125	42.0625	17
959	73.4375	42.0625	17
960	73.5625	42.0625	17
961	73.6875	42.0625	17
962	73.8125	42.0625	17
963	73.9375	42.0625	17
964	74.0625	42.0625	17
965	74.1875	42.0625	17
966	74.3125	42.0625	17
967	74.4375	42.0625	17
968	74.5625	42.0625	17
969	74.6875	42.0625	17
970	74.8125	42.0625	17
971	74.9375	42.0625	17
972	75.0625	42.0625	17
973	75.1875	42.0625	17
974	75.3125	42.0625	17
975	77.9375	42.0625	17
976	78.0625	42.0625	24
977	78.1875	42.0625	24
978	67.3125	41.9375	16
979	67.4375	41.9375	16
980	67.5625	41.9375	16
981	67.6875	41.9375	16
982	67.8125	41.9375	17
983	67.9375	41.9375	18
984	68.0625	41.9375	17
985	68.1875	41.9375	16
986	68.3125	41.9375	16
987	68.4375	41.9375	16
988	68.5625	41.9375	16
989	68.6875	41.9375	16
990	68.8125	41.9375	16
991	68.9375	41.9375	16
992	69.0625	41.9375	17
993	69.1875	41.9375	17
994	69.3125	41.9375	17
995	69.4375	41.9375	17
